geoname,state,county,place,tract,bg,geonum,b01003001,b01003_moe001
Geographic Area Name,State FIPS,County FIPS,Place FIPS,Tract FIPS,BG FIPS,Unique ID,Total,
"Block Group 1, Census Tract 9501, Adams County, Wisconsin",55,1,,950100,1,1550019501001,1352,248
"Block Group 2, Census Tract 9501, Adams County, Wisconsin",55,1,,950100,2,1550019501002,663,195
"Block Group 3, Census Tract 9501, Adams County, Wisconsin",55,1,,950100,3,1550019501003,1026,154
"Block Group 1, Census Tract 9502.01, Adams County, Wisconsin",55,1,,950201,1,1550019502011,1426,136
"Block Group 1, Census Tract 9502.02, Adams County, Wisconsin",55,1,,950202,1,1550019502021,788,102
"Block Group 2, Census Tract 9502.02, Adams County, Wisconsin",55,1,,950202,2,1550019502022,1036,157
"Block Group 3, Census Tract 9502.02, Adams County, Wisconsin",55,1,,950202,3,1550019502023,861,123
"Block Group 1, Census Tract 9504, Adams County, Wisconsin",55,1,,950400,1,1550019504001,768,136
"Block Group 2, Census Tract 9504, Adams County, Wisconsin",55,1,,950400,2,1550019504002,963,143
"Block Group 3, Census Tract 9504, Adams County, Wisconsin",55,1,,950400,3,1550019504003,969,161
"Block Group 4, Census Tract 9504, Adams County, Wisconsin",55,1,,950400,4,1550019504004,1771,258
"Block Group 1, Census Tract 9505.01, Adams County, Wisconsin",55,1,,950501,1,1550019505011,862,164
"Block Group 2, Census Tract 9505.01, Adams County, Wisconsin",55,1,,950501,2,1550019505012,745,155
"Block Group 1, Census Tract 9505.02, Adams County, Wisconsin",55,1,,950502,1,1550019505021,2592,252
"Block Group 2, Census Tract 9505.02, Adams County, Wisconsin",55,1,,950502,2,1550019505022,1360,165
"Block Group 1, Census Tract 9507, Adams County, Wisconsin",55,1,,950700,1,1550019507001,1147,157
"Block Group 2, Census Tract 9507, Adams County, Wisconsin",55,1,,950700,2,1550019507002,1018,142
"Block Group 3, Census Tract 9507, Adams County, Wisconsin",55,1,,950700,3,1550019507003,1394,164
"Block Group 1, Census Tract 9400, Ashland County, Wisconsin",55,3,,940000,1,1550039400001,1894,157
"Block Group 1, Census Tract 9503, Ashland County, Wisconsin",55,3,,950300,1,1550039503001,1849,216
"Block Group 2, Census Tract 9503, Ashland County, Wisconsin",55,3,,950300,2,1550039503002,798,136
"Block Group 1, Census Tract 9504, Ashland County, Wisconsin",55,3,,950400,1,1550039504001,1275,151
"Block Group 2, Census Tract 9504, Ashland County, Wisconsin",55,3,,950400,2,1550039504002,619,130
"Block Group 3, Census Tract 9504, Ashland County, Wisconsin",55,3,,950400,3,1550039504003,518,154
"Block Group 1, Census Tract 9505, Ashland County, Wisconsin",55,3,,950500,1,1550039505001,1327,139
"Block Group 2, Census Tract 9505, Ashland County, Wisconsin",55,3,,950500,2,1550039505002,865,119
"Block Group 1, Census Tract 9506, Ashland County, Wisconsin",55,3,,950600,1,1550039506001,726,98
"Block Group 2, Census Tract 9506, Ashland County, Wisconsin",55,3,,950600,2,1550039506002,662,96
"Block Group 1, Census Tract 9507, Ashland County, Wisconsin",55,3,,950700,1,1550039507001,714,106
"Block Group 2, Census Tract 9507, Ashland County, Wisconsin",55,3,,950700,2,1550039507002,526,78
"Block Group 3, Census Tract 9507, Ashland County, Wisconsin",55,3,,950700,3,1550039507003,983,113
"Block Group 1, Census Tract 9508, Ashland County, Wisconsin",55,3,,950800,1,1550039508001,180,61
"Block Group 2, Census Tract 9508, Ashland County, Wisconsin",55,3,,950800,2,1550039508002,1657,176
"Block Group 3, Census Tract 9508, Ashland County, Wisconsin",55,3,,950800,3,1550039508003,863,168
